T,L,srednia_energie_ukladu,srednia_magnetyzacje
1,20,-798.868,0.999275
1.01,20,-798.752,0.9992
1.02,20,-798.656,0.99914
1.03,20,-798.56,0.99908
1.04,20,-798.468,0.99902
1.05,20,-798.304,0.99891
1.06,20,-798.036,0.99873
1.07,20,-797.852,0.99861
1.08,20,-797.728,0.99853
1.09,20,-797.56,0.998425
1.1,20,-797.36,0.998295
1.11,20,-797.232,0.998215
1.12,20,-797.012,0.99807
1.13,20,-796.832,0.997945
1.14,20,-796.652,0.997825
1.15,20,-796.536,0.99775
1.16,20,-796.288,0.99759
1.17,20,-796.08,0.99746
1.18,20,-795.928,0.99736
1.19,20,-795.712,0.997215
1.2,20,-795.352,0.99698
1.21,20,-795.028,0.99677
1.22,20,-794.632,0.99651
1.23,20,-794.196,0.996225
1.24,20,-793.768,0.995935
1.25,20,-793.56,0.99579
1.26,20,-793.268,0.9956
1.27,20,-793.008,0.995425
1.28,20,-792.616,0.995135
1.29,20,-792.284,0.99491
1.3,20,-791.888,0.994645
1.31,20,-791.404,0.994305
1.32,20,-790.904,0.99397
1.33,20,-790.332,0.993585
1.34,20,-790.016,0.99336
1.35,20,-789.548,0.993025
1.36,20,-789.104,0.992725
1.37,20,-788.728,0.99247
1.38,20,-788.284,0.992155
1.39,20,-787.804,0.99183
1.4,20,-787.248,0.991435
1.41,20,-786.568,0.99092
1.42,20,-785.904,0.99044
1.43,20,-785.064,0.989845
1.44,20,-784.404,0.989385
1.45,20,-783.956,0.989075
1.46,20,-783.28,0.98854
1.47,20,-782.64,0.988085
1.48,20,-782.188,0.987735
1.49,20,-781.648,0.98734
1.5,20,-780.708,0.98667
1.51,20,-779.872,0.98608
1.52,20,-778.764,0.98522
1.53,20,-777.892,0.984555
1.54,20,-777.108,0.983985
1.55,20,-776.248,0.983345
1.56,20,-775.064,0.982315
1.57,20,-774.228,0.9817
1.58,20,-772.916,0.98067
1.59,20,-772.064,0.980035
1.6,20,-770.948,0.979185
1.61,20,-770.1,0.97854
1.62,20,-769.016,0.977675
1.63,20,-767.768,0.97663
1.64,20,-766.712,0.97586
1.65,20,-765.38,0.974725
1.66,20,-764.04,0.97364
1.67,20,-763.04,0.972845
1.68,20,-761.612,0.97166
1.69,20,-760.432,0.970655
1.7,20,-758.564,0.96878
1.71,20,-757.592,0.96803
1.72,20,-756.268,0.96686
1.73,20,-754.284,0.96525
1.74,20,-752.18,0.963425
1.75,20,-750.792,0.962325
1.76,20,-749.332,0.96117
1.77,20,-747.228,0.95921
1.78,20,-745.912,0.958145
1.79,20,-744.472,0.956995
1.8,20,-742.98,0.955795
1.81,20,-741.416,0.954505
1.82,20,-740.264,0.953705
1.83,20,-738.14,0.95182
1.84,20,-735.736,0.949595
1.85,20,-731.96,0.94484
1.86,20,-729.796,0.94304
1.87,20,-727.736,0.941545
1.88,20,-726.152,0.94044
1.89,20,-724.252,0.93871
1.9,20,-721.676,0.935465
1.91,20,-719.42,0.93329
1.92,20,-717.3,0.93133
1.93,20,-714.328,0.92799
1.94,20,-711.412,0.925
1.95,20,-709.42,0.923215
1.96,20,-706.412,0.919885
1.97,20,-702.92,0.91353
1.98,20,-701.38,0.913235
1.99,20,-698.116,0.90912
2,20,-695.66,0.90671
2.01,20,-692.72,0.903945
2.02,20,-689.392,0.900535
2.03,20,-686.22,0.89574
2.04,20,-682.336,0.89053
2.05,20,-678.056,0.88541
2.06,20,-676.952,0.8858
2.07,20,-676.288,0.887745
2.08,20,-672.94,0.884075
2.09,20,-668.448,0.876915
2.1,20,-664.052,0.8705
2.11,20,-660.196,0.86594
2.12,20,-659.264,0.867705
2.13,20,-656.432,0.86512
2.14,20,-651.432,0.85635
2.15,20,-645.952,0.84714
2.16,20,-640.568,0.83584
2.17,20,-634.308,0.82645
2.18,20,-627.812,0.81557
2.19,20,-627.568,0.820915
2.2,20,-623.764,0.812655
2.21,20,-621.712,0.81201
2.22,20,-617.016,0.80774
2.23,20,-612.096,0.796725
2.24,20,-609.352,0.79923
2.25,20,-597.02,0.75299
2.26,20,-581.54,0.68037
2.27,20,-587.936,0.737635
2.28,20,-582.768,0.743835
2.29,20,-584.316,0.750465
2.3,20,-577.656,0.737285
2.31,20,-579.564,0.75539
2.32,20,-548.932,0.653635
2.33,20,-547.684,0.65836
2.34,20,-537.296,0.60823
2.35,20,-512.652,0.502765
2.36,20,-513.132,0.513645
2.37,20,-516.256,0.54572
2.38,20,-495.108,0.46085
2.39,20,-490.624,0.4254
2.4,20,-502.38,0.51284
2.41,20,-496.868,0.48577
2.42,20,-480.6,0.422125
2.43,20,-481.524,0.462715
2.44,20,-459.644,0.34367
2.45,20,-469.48,0.38563
2.46,20,-474.336,0.444815
2.47,20,-450.212,0.29274
2.48,20,-443.42,0.283345
2.49,20,-437.864,0.240465
2.5,20,-430.916,0.22525
2.51,20,-448.568,0.364885
2.52,20,-438.428,0.29594
2.53,20,-428.424,0.29072
2.54,20,-442.008,0.337715
2.55,20,-427.656,0.29064
2.56,20,-437.772,0.34633
2.57,20,-422.916,0.269855
2.58,20,-420,0.266115
2.59,20,-410.508,0.207495
2.6,20,-417.504,0.29145
2.61,20,-409.052,0.20452
2.62,20,-402.568,0.22051
2.63,20,-406.364,0.26347
2.64,20,-406.364,0.248435
2.65,20,-400.476,0.196885
2.66,20,-403.448,0.25712
2.67,20,-400.708,0.25035
2.68,20,-389.484,0.185005
2.69,20,-386.756,0.193865
2.7,20,-383.044,0.201395
2.71,20,-381.524,0.22551
2.72,20,-380.636,0.22094
2.73,20,-374.048,0.16926
2.74,20,-372.088,0.169405
2.75,20,-374.532,0.19374
2.76,20,-372.504,0.18295
2.77,20,-367.856,0.17516
2.78,20,-364.78,0.16084
2.79,20,-366.348,0.206625
2.8,20,-358.92,0.153465
2.81,20,-363.056,0.18364
2.82,20,-359.088,0.19508
2.83,20,-354.988,0.17052
2.84,20,-352.028,0.167395
2.85,20,-348.484,0.160035
2.86,20,-353.96,0.167085
2.87,20,-347.572,0.160075
2.88,20,-340.98,0.15686
2.89,20,-343.708,0.137925
2.9,20,-345.044,0.161155
2.91,20,-342.256,0.16615
2.92,20,-340.204,0.148795
2.93,20,-339.192,0.14739
2.94,20,-336.748,0.157345
2.95,20,-336.132,0.154835
2.96,20,-334.228,0.13929
2.97,20,-334.384,0.16044
2.98,20,-330.396,0.13742
2.99,20,-327.804,0.136355
3,20,-328.224,0.141995
3,20,-328.224,0.141995
3.1,20,-310.576,0.12491
3.2,20,-294.704,0.120725
3.3,20,-284.724,0.104595
3.4,20,-271.716,0.093385
3.5,20,-260.16,0.093005
3.6,20,-249.644,0.096275
3.7,20,-243.116,0.08625
3.8,20,-236.688,0.079925
3.9,20,-228.868,0.085365
4,20,-218.892,0.088165
4.1,20,-216.556,0.078405
4.2,20,-209.076,0.076795
4.3,20,-205.324,0.078395
4.4,20,-198.868,0.081985
4.5,20,-192.228,0.07323
4.6,20,-187.708,0.07118
4.7,20,-180.296,0.069375
4.8,20,-178.124,0.06968
4.9,20,-175.316,0.072185
5,20,-170.912,0.069075
5.1,20,-166.232,0.065175
5.2,20,-162.504,0.064205
5.3,20,-161.028,0.06436
5.4,20,-157.228,0.062925
5.5,20,-152.872,0.062195
5.6,20,-149.92,0.060555
5.7,20,-148.068,0.06085
5.8,20,-144.984,0.06131
5.9,20,-143.392,0.0589
6,20,-137.864,0.061065
6.1,20,-137.3,0.062215
6.2,20,-134.156,0.05913
6.3,20,-128.668,0.056
6.4,20,-128.4,0.05609
6.5,20,-127.792,0.057465
6.6,20,-125.18,0.05716
6.7,20,-122.996,0.057285
6.8,20,-122.312,0.057005
6.9,20,-118.468,0.05817
7,20,-114.244,0.05747
7.1,20,-114.668,0.05793
7.2,20,-112.708,0.056485
7.3,20,-112.916,0.056835
7.4,20,-111.172,0.05068
7.5,20,-111.364,0.05352
7.6,20,-108.072,0.05725
7.7,20,-106.592,0.05407
7.8,20,-105.828,0.05418
7.9,20,-102.96,0.054445
8,20,-101.932,0.051005
8.1,20,-101.916,0.053755
8.2,20,-99.42,0.05537
8.3,20,-98.344,0.053935
8.4,20,-95.632,0.05118
8.5,20,-94.748,0.052065
8.6,20,-93.84,0.052495
8.7,20,-92.972,0.050945
8.8,20,-92.92,0.053255
8.9,20,-91.792,0.050975
9,20,-89.412,0.048725
9.1,20,-88.388,0.051185
9.2,20,-88.684,0.05069
9.3,20,-87.416,0.04724
9.4,20,-84.604,0.05068
9.5,20,-86.196,0.04848
9.6,20,-83.992,0.052385
9.7,20,-83.944,0.05116
9.8,20,-82.984,0.04911
9.9,20,-80.76,0.04822
10,20,-81.444,0.04935
10.1,20,-80.92,0.050385
10.2,20,-79.228,0.048925
10.3,20,-79.056,0.0514
10.4,20,-77.376,0.050925
10.5,20,-77.428,0.04979
10.6,20,-77.128,0.051095
10.7,20,-75.632,0.04707
10.8,20,-75.7,0.049225
10.9,20,-76.4,0.049935
11,20,-72.984,0.049145
11.1,20,-72.98,0.04937
11.2,20,-72.392,0.04918
11.3,20,-70.48,0.04858
11.4,20,-69.748,0.049205
11.5,20,-71.088,0.04949
11.6,20,-70.428,0.04806
11.7,20,-70.156,0.048315
11.8,20,-67.916,0.04835
11.9,20,-66.624,0.05059
12,20,-67.08,0.04545
12.1,20,-67.068,0.048265
12.2,20,-64.84,0.045805
12.3,20,-66.196,0.04772
12.4,20,-63.228,0.047355
12.5,20,-63.828,0.04742
12.6,20,-64.728,0.04679
12.7,20,-63.22,0.047355
12.8,20,-61.268,0.045445
12.9,20,-62.956,0.0482
13,20,-59.788,0.04666
13.1,20,-60.248,0.04551
13.2,20,-60.388,0.04591
13.3,20,-60.312,0.04617
13.4,20,-59.712,0.045765
13.5,20,-58.272,0.04444
13.6,20,-59.7,0.047255
13.7,20,-58.48,0.045865
13.8,20,-56.892,0.045965
13.9,20,-57.192,0.044255
